,Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity
7037,13:35:00,Tuesday,31-50,Male,Junior high school,"(5, 10)",Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Entering a junction,Moving Backward,Slight
7038,13:35:00,Tuesday,31-50,Male,Junior high school,> 10,Ridden horse,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Turnover,Changing lane to the right,Slight
7039,13:35:00,Tuesday,31-50,Male,High school,> 10,Lorry,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Going straight,Driving carelessly,Slight
7040,12:00:00,Tuesday,Unknown,Female,Junior high school,> 10,Lorry,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight
7041,12:00:00,Tuesday,18-30,Male,Junior high school,> 10,Pick up upto 10Q,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight
7042,12:00:00,Tuesday,18-30,Male,Junior high school,> 10,Lorry,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Moving Backward,Slight
7043,17:12:00,Wednesday,31-50,Male,Junior high school,> 10,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
7044,17:12:00,Wednesday,31-50,Male,Junior high school,"(5, 10)",Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
7045,19:55:00,Monday,Under 18,Male,Junior high school,"(2, 5)",Pick up upto 10Q,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Going straight,No priority to vehicle,Slight
7046,19:55:00,Monday,18-30,Male,Junior high school,< 1,Automobile,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Changing lane to the right,Slight
7047,19:55:00,Monday,18-30,Male,Junior high school,< 1,Other,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Moving Backward,Slight
7048,08:30:00,Wednesday,Unknown,Male,Junior high school,"(2, 5)",Lorry,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Getting off,Driving under the influence of drugs,Slight
7049,08:30:00,Wednesday,18-30,Male,Elementary school,< 1,Public,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Getting off,Changing lane to the right,Slight
7050,08:30:00,Wednesday,18-30,Male,Junior high school,< 1,Pick up upto 10Q,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Other,Collision with pedestrians,2,2,Moving Backward,No priority to vehicle,Slight
7051,10:45:00,Sunday,Unknown,Male,Junior high school,unknown,Stationwagen,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Changing lane to the left,Slight
7052,10:45:00,Sunday,18-30,Male,Junior high school,"(5, 10)",Other,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight
7053,10:45:00,Sunday,18-30,Male,Writing & reading,< 1,Pick up upto 10Q,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Waiting to go,No priority to pedestrian,Slight
7054,04:14:00,Sunday,18-30,Male,Junior high school,< 1,Public,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,No priority to pedestrian,Slight
7055,04:14:00,Sunday,18-30,Male,Junior high school,"(1, 2)",Public,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Other,Changing lane to the right,Slight
7056,14:49:00,Thursday,18-30,Male,Elementary school,> 10,Lorry,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,2,Going straight,Drunk driving,Slight
7057,14:49:00,Thursday,18-30,Male,Elementary school,> 10,Pick up upto 10Q,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Changing lane to the left,Slight
7058,14:49:00,Thursday,18-30,Male,Elementary school,< 1,Lorry,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Going straight,Changing lane to the left,Slight
7059,20:32:00,Tuesday,18-30,Male,High school,"(2, 5)",Pick up upto 10Q,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driving to the left,Slight
7060,20:32:00,Tuesday,31-50,Male,Junior high school,"(2, 5)",Long lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Overtaking,Changing lane to the left,Slight
7061,18:03:00,Thursday,18-30,Male,Above high school,> 10,Automobile, Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driving under the influence of drugs,Slight
7062,18:03:00,Thursday,18-30,Male,Junior high school,"(2, 5)",Public,Other,One way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight
7063,05:45:00,Monday,18-30,Male,Junior high school,"(2, 5)",Lorry,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight
7064,05:45:00,Monday,31-50,Male,High school,"(1, 2)",Public,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Moving Backward,Slight
7065,13:00:00,Tuesday,31-50,Male,Junior high school,"(5, 10)",Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,No distancing,Slight
7066,13:00:00,Tuesday,31-50,Male,Junior high school,< 1,Automobile,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Changing lane to the right,Slight
7067,13:00:00,Tuesday,31-50,Male,Junior high school,< 1,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Getting off,No priority to vehicle,Slight
7068,06:45:00,Wednesday,18-30,Male,Elementary school,unknown,Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Moving Backward,Slight
7069,06:45:00,Wednesday,31-50,Male,Junior high school,< 1,Lorry,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Overtaking,Slight
7070,16:07:00,Tuesday,Unknown,Female,Junior high school,"(1, 2)",Automobile,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Overtaking,Changing lane to the left,Slight
7071,16:07:00,Tuesday,31-50,Male,Elementary school,"(2, 5)",Public,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Changing lane to the right,Slight
7072,16:07:00,Tuesday,31-50,Male,High school,"(1, 2)",Automobile,Office areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Overtaking,Slight
7073,16:05:00,Saturday,Over 51,Male,Junior high school,"(5, 10)",Public,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Overloading,Slight
7074,16:05:00,Saturday,Under 18,Male,Junior high school,< 1,Lorry,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Other,Slight
7075,18:00:00,Saturday,Over 51,Male,High school,> 10,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Getting off,No priority to vehicle,Fatal injury
7076,18:00:00,Saturday,Over 51,Male,Elementary school,"(5, 10)",Lorry, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Changing lane to the right,Fatal injury
7077,18:00:00,Saturday,Over 51,Male,Elementary school,< 1,Public,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Moving Backward,Fatal injury
7078,18:00:00,Saturday,Unknown,Male,Junior high school,"(5, 10)",Public,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Changing lane to the left,Fatal injury
7079,14:35:00,Friday,31-50,Male,Elementary school,"(5, 10)",Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Reversing,No priority to pedestrian,Slight
7080,14:35:00,Friday,31-50,Male,Junior high school,"(2, 5)",Long lorry,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,No distancing,Slight
7081,14:35:00,Friday,31-50,Male,Junior high school,> 10,Lorry, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,3,Stopping,No priority to vehicle,Slight
7082,14:35:00,Friday,31-50,Male,Junior high school,"(5, 10)",Lorry, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Overtaking,No distancing,Slight
7083,08:00:00,Wednesday,31-50,Male,High school,"(1, 2)",Lorry,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
7084,08:00:00,Wednesday,Unknown,Female,Junior high school,> 10,Public,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Reversing,Moving Backward,Slight
7085,12:53:00,Wednesday,Unknown,Male,Elementary school,"(2, 5)",Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the right,Slight
7086,16:55:00,Monday,Unknown,Male,Junior high school,"(5, 10)",Taxi,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Going straight,No priority to pedestrian,Slight
7087,16:45:00,Monday,Unknown,Male,Junior high school,< 1,Automobile, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Moving Backward,Slight
7088,16:45:00,Monday,18-30,Male,Junior high school,"(5, 10)",Automobile, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Getting off the vehicle improperly,Slight
7089,16:15:00,Saturday,Unknown,Male,High school,> 10,Automobile,Office areas,other,Tangent road with mountainous terrain and,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Waiting to go,Overtaking,Slight
7090,08:45:00,Monday,Under 18,Male,Junior high school,"(5, 10)",Lorry, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Overloading,Slight
7091,08:45:00,Monday,31-50,Male,Elementary school,"(1, 2)",Automobile,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight
7092,20:39:00,Saturday,31-50,Male,Junior high school,unknown,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Improper parking,Serious
7093,20:39:00,Saturday,18-30,Male,Above high school,"(1, 2)",Lorry,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Other,Serious
7094,17:10:00,Tuesday,Unknown,Male,Junior high school,> 10,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Changing lane to the left,Slight
7095,17:10:00,Tuesday,Unknown,Male,Junior high school,"(1, 2)",Automobile,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
7096,17:35:00,Thursday,Under 18,Male,Junior high school,"(5, 10)",Automobile,Rural village areasOffice areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,No priority to pedestrian,Slight
7097,17:35:00,Thursday,18-30,Male,Junior high school,"(2, 5)",Taxi,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Overspeed,Slight
7098,17:35:00,Thursday,31-50,Male,Junior high school,unknown,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Changing lane to the left,Slight
7099,00:10:00,Sunday,18-30,Male,Junior high school,"(2, 5)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Turnover,No priority to vehicle,Fatal injury
7100,00:10:00,Sunday,18-30,Male,Junior high school,"(2, 5)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Fatal injury
7101,00:10:00,Sunday,Under 18,Male,Junior high school,> 10,Pick up upto 10Q,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,No distancing,Fatal injury
7102,21:19:00,Wednesday,31-50,Male,Junior high school,"(1, 2)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight
7103,21:19:00,Wednesday,18-30,Male,Above high school,"(1, 2)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
7104,11:59:00,Saturday,Unknown,Female,Above high school,No Licence,Public,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,1,1,Getting off,No priority to vehicle,Slight
7105,17:19:00,Friday,31-50,Male,Junior high school,"(1, 2)",Public,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,3,1,Going straight,Other,Slight
7106,17:19:00,Friday,18-30,Male,Junior high school,"(5, 10)",Lorry,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driving carelessly,Slight
7107,17:19:00,Friday,18-30,Male,Junior high school,> 10,Stationwagen,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the left,Slight
7108,12:36:00,Tuesday,Unknown,Female,Junior high school,> 10,Ridden horse,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
7109,12:36:00,Tuesday,Over 51,Male,Junior high school,"(5, 10)",Stationwagen,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight
7110,12:30:00,Thursday,Unknown,Female,Elementary school,"(2, 5)",Automobile,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight
7111,12:30:00,Thursday,18-30,Male,Junior high school,"(2, 5)",Automobile,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
7112,07:50:00,Friday,18-30,Male,Junior high school,< 1,Other,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
7113,07:50:00,Friday,18-30,Male,Junior high school,"(2, 5)",Taxi, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
7114,22:15:00,Tuesday,Unknown,Male,Junior high school,"(2, 5)",Automobile,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,2,1,Going straight,Driving at high speed,Slight
7115,22:15:00,Tuesday,18-30,Male,Elementary school,"(5, 10)",Stationwagen,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Reversing,No distancing,Slight
7116,06:55:00,Sunday,Unknown,Male,Junior high school,> 10,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
7117,06:55:00,Sunday,31-50,Male,Junior high school,unknown,Public,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Changing lane to the left,Slight
7118,15:33:00,Friday,31-50,Male,Junior high school,"(2, 5)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Getting off the vehicle improperly,Slight
7119,15:33:00,Friday,31-50,Male,Junior high school,"(5, 10)",Automobile,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,2,Going straight,Other,Slight
7120,14:34:00,Friday,18-30,Male,Above high school,"(2, 5)",Lorry,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Other,Slight
7121,14:34:00,Friday,Over 51,Male,Junior high school,unknown,Automobile,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
7122,13:00:00,Thursday,18-30,Male,Junior high school,"(1, 2)",Public,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,No priority to vehicle,Slight
7123,13:00:00,Thursday,18-30,Male,Junior high school,"(2, 5)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Overtaking,Slight
7124,02:49:00,Sunday,18-30,Male,Junior high school,> 10,Public,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Turnover,No priority to pedestrian,Slight
7125,02:49:00,Sunday,Unknown,Male,Junior high school,< 1,Public,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
7126,17:15:00,Tuesday,Over 51,Male,Junior high school,"(2, 5)",Automobile,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the right,Slight
7127,18:55:00,Thursday,18-30,Male,Junior high school,< 1,Automobile,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driving carelessly,Slight
7128,18:55:00,Thursday,31-50,Male,High school,"(5, 10)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight
7129,19:35:00,Saturday,Unknown,Female,Above high school,"(1, 2)",Lorry,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Overtaking,Serious
7130,19:35:00,Saturday,31-50,Male,Junior high school,< 1,Public,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Other,Serious
7131,19:20:00,Thursday,18-30,Male,Junior high school,unknown,Lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Moving Backward,Driving to the left,Serious
7132,12:05:00,Sunday,Unknown,Male,High school,< 1,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driving at high speed,Slight
7133,12:05:00,Sunday,18-30,Male,High school,< 1,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Turnover,Unknown,Slight
7134,06:55:00,Monday,Unknown,Male,Junior high school,unknown,Automobile, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
7135,06:55:00,Monday,Over 51,Male,High school,"(2, 5)",Bajaj,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
7136,20:40:00,Friday,Unknown,Male,Junior high school,> 10,Public,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Slight
7137,20:40:00,Friday,Unknown,Female,Junior high school,> 10,Lorry,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight
7138,18:05:00,Sunday,18-30,Male,Junior high school,"(5, 10)",Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Unknown,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight
7139,18:05:00,Sunday,Under 18,Male,Junior high school,"(1, 2)",Automobile, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Unknown,Collision with roadside objects,2,1,Going straight,No priority to pedestrian,Slight
7140,22:45:00,Friday,Unknown,Female,Unknown,< 1,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Turnover,Overtaking,Serious
7141,16:58:00,Friday,31-50,Male,Junior high school,< 1,Lorry,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Turnover,Driving carelessly,Slight
7142,18:30:00,Monday,Unknown,Male,High school,"(2, 5)",Lorry,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Going straight,No priority to vehicle,Slight
7143,18:30:00,Monday,31-50,Male,Junior high school,"(1, 2)",Pick up upto 10Q,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Getting off,No priority to pedestrian,Slight
7144,18:30:00,Monday,31-50,Male,Junior high school,"(5, 10)",Lorry, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Getting off,Changing lane to the right,Slight
7145,17:20:00,Saturday,Unknown,Male,Elementary school,"(2, 5)",Stationwagen,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
